Year;State;NMFS Name;Pounds;Metric Tons;Dollars;Collection;Scientific Name;Tsn;Source
1954;WASHINGTON;COD, PACIFIC;15,870,000;7,199;620,068;Commercial;Gadus macrocephalus;164711;PACFINHIST
1953;CONNECTICUT;COD, ATLANTIC;57,900;26;7,198;Commercial;Gadus morhua;164712;ACCSPHIST
1953;MAINE;COD, ATLANTIC;3,769,100;1,71;213,921;Commercial;Gadus morhua;164712;ACCSPHIST
1953;MASSACHUSETTS;COD, ATLANTIC;27,465,000;12,458;1,846,781;Commercial;Gadus morhua;164712;ACCSPHIST
1953;NEW JERSEY;COD, ATLANTIC;32,300;15;4,250;Commercial;Gadus morhua;164712;ACCSPHIST
1953;NEW YORK;COD, ATLANTIC;727,600;330;85,708;Commercial;Gadus morhua;164712;ACCSPHIST
1953;OREGON;COD, PACIFIC;175,900;80;6,901;Commercial;Gadus macrocephalus;164711;PACFINHIST
1953;RHODE ISLAND;COD, ATLANTIC;607,200;275;48,071;Commercial;Gadus morhua;164712;ACCSPHIST
1953;VIRGINIA;COD, ATLANTIC;1,300;1;39;Commercial;Gadus morhua;164712;ACCSPHIST
1953;WASHINGTON;COD, PACIFIC;8,465,100;3,84;364,051;Commercial;Gadus macrocephalus;164711;PACFINHIST
1952;CONNECTICUT;COD, ATLANTIC;170,200;77;17,112;Commercial;Gadus morhua;164712;ACCSPHIST
1952;MAINE;COD, ATLANTIC;4,614,500;2,093;256,454;Commercial;Gadus morhua;164712;ACCSPHIST
1952;MARYLAND;COD, ATLANTIC;400;0;16;Commercial;Gadus morhua;164712;ACCSPHIST
1952;MASSACHUSETTS;COD, ATLANTIC;36,928,200;16,751;2,652,133;Commercial;Gadus morhua;164712;ACCSPHIST
